"train/global_step","[paper]GEPO_diff4 - _step","[paper]GEPO_diff4 - _step__MIN","[paper]GEPO_diff4 - _step__MAX","[paper]GEPO_diff4 - train/step_diff","[paper]GEPO_diff4 - train/step_diff__MIN","[paper]GEPO_diff4 - train/step_diff__MAX","[paper]GEPO_diff32 - _step","[paper]GEPO_diff32 - _step__MIN","[paper]GEPO_diff32 - _step__MAX","[paper]GEPO_diff32 - train/step_diff","[paper]GEPO_diff32 - train/step_diff__MIN","[paper]GEPO_diff32 - train/step_diff__MAX"
"1","34","34","34","0","0","0","34","34","34","0","0","0"
"2","69","69","69","1","1","1","69","69","69","1","1","1"
"3","104","104","104","2","2","2","104","104","104","2","2","2"
"4","139","139","139","3","3","3","139","139","139","3","3","3"
"5","174","174","174","4","4","4","174","174","174","4","4","4"
"6","209","209","209","0","0","0","209","209","209","5","5","5"
"7","244","244","244","1","1","1","244","244","244","6","6","6"
"8","279","279","279","2","2","2","279","279","279","7","7","7"
"9","314","314","314","3","3","3","314","314","314","8","8","8"
"10","349","349","349","4","4","4","349","349","349","9","9","9"
"11","384","384","384","0","0","0","384","384","384","10","10","10"
"12","419","419","419","1","1","1","419","419","419","11","11","11"
"13","454","454","454","2","2","2","454","454","454","12","12","12"
"14","489","489","489","3","3","3","489","489","489","13","13","13"
"15","524","524","524","4","4","4","524","524","524","14","14","14"
"16","559","559","559","0","0","0","559","559","559","15","15","15"
"17","594","594","594","1","1","1","594","594","594","4","4","4"
"18","629","629","629","2","2","2","629","629","629","17","17","17"
"19","664","664","664","3","3","3","664","664","664","5","5","5"
"20","699","699","699","4","4","4","699","699","699","19","19","19"
"21","734","734","734","0","0","0","734","734","734","20","20","20"
"22","769","769","769","1","1","1","769","769","769","21","21","21"
"23","804","804","804","2","2","2","804","804","804","22","22","22"
"24","839","839","839","3","3","3","839","839","839","11","11","11"
"25","874","874","874","4","4","4","874","874","874","12","12","12"
"26","909","909","909","0","0","0","909","909","909","13","13","13"
"27","944","944","944","1","1","1","944","944","944","14","14","14"
"28","979","979","979","2","2","2","979","979","979","15","15","15"
"29","1014","1014","1014","3","3","3","1014","1014","1014","16","16","16"
"30","1049","1049","1049","4","4","4","1049","1049","1049","16","16","16"
"31","1084","1084","1084","0","0","0","1084","1084","1084","18","18","18"
"32","1119","1119","1119","1","1","1","1119","1119","1119","19","19","19"
"33","1154","1154","1154","2","2","2","1154","1154","1154","20","20","20"
"34","1189","1189","1189","3","3","3","1189","1189","1189","21","21","21"
"35","1224","1224","1224","4","4","4","1224","1224","1224","21","21","21"
"36","1259","1259","1259","0","0","0","1259","1259","1259","23","23","23"
"37","1294","1294","1294","1","1","1","1294","1294","1294","24","24","24"
"38","1329","1329","1329","2","2","2","1329","1329","1329","25","25","25"
"39","1364","1364","1364","3","3","3","1364","1364","1364","26","26","26"
"40","1399","1399","1399","4","4","4","1399","1399","1399","26","26","26"
"41","1434","1434","1434","0","0","0","1434","1434","1434","28","28","28"
"42","1469","1469","1469","1","1","1","1469","1469","1469","29","29","29"
"43","1504","1504","1504","2","2","2","1504","1504","1504","30","30","30"
"44","1539","1539","1539","3","3","3","1539","1539","1539","31","31","31"
"45","1574","1574","1574","4","4","4","1574","1574","1574","4","4","4"
"46","1609","1609","1609","0","0","0","1609","1609","1609","4","4","4"
"47","1644","1644","1644","1","1","1","1644","1644","1644","33","33","33"
"48","1679","1679","1679","2","2","2","1679","1679","1679","35","35","35"
"49","1714","1714","1714","3","3","3","1714","1714","1714","36","36","36"
"50","1749","1749","1749","4","4","4","1749","1749","1749","37","37","37"
"51","1784","1784","1784","0","0","0","1784","1784","1784","37","37","37"
"52","1819","1819","1819","1","1","1","1819","1819","1819","39","39","39"
"53","1854","1854","1854","2","2","2","1854","1854","1854","40","40","40"
"54","1889","1889","1889","3","3","3","1889","1889","1889","41","41","41"
"55","1924","1924","1924","4","4","4","1924","1924","1924","41","41","41"
"56","1959","1959","1959","0","0","0","1959","1959","1959","43","43","43"
"57","1994","1994","1994","1","1","1","1994","1994","1994","44","44","44"
"58","2029","2029","2029","2","2","2","2029","2029","2029","45","45","45"
"59","2064","2064","2064","3","3","3","2064","2064","2064","46","46","46"
"60","2099","2099","2099","4","4","4","2099","2099","2099","46","46","46"
"61","2134","2134","2134","0","0","0","2134","2134","2134","48","48","48"
"62","2169","2169","2169","1","1","1","2169","2169","2169","49","49","49"
"63","2204","2204","2204","2","2","2","2204","2204","2204","22","22","22"
"64","2239","2239","2239","3","3","3","2239","2239","2239","22","22","22"
"65","2651","2651","2651","0","0","0","2651","2651","2651","0","0","0"
"66","2686","2686","2686","5","5","5","2686","2686","2686","25","25","25"
"67","2721","2721","2721","6","6","6","2721","2721","2721","25","25","25"
"68","2756","2756","2756","7","7","7","2756","2756","2756","27","27","27"
"69","2791","2791","2791","8","8","8","2791","2791","2791","27","27","27"
"70","2826","2826","2826","3","3","3","2826","2826","2826","29","29","29"
"71","2861","2861","2861","6","6","6","2861","2861","2861","29","29","29"
"72","2896","2896","2896","0","0","0","2896","2896","2896","30","30","30"
"73","2931","2931","2931","1","1","1","2931","2931","2931","32","32","32"
"74","2966","2966","2966","2","2","2","2966","2966","2966","33","33","33"
"75","3001","3001","3001","3","3","3","3001","3001","3001","33","33","33"
"76","3036","3036","3036","4","4","4","3036","3036","3036","35","35","35"
"77","3071","3071","3071","3","3","3","3071","3071","3071","35","35","35"
"78","3106","3106","3106","1","1","1","3106","3106","3106","37","37","37"
"79","3141","3141","3141","5","5","5","3141","3141","3141","37","37","37"
"80","3176","3176","3176","3","3","3","3176","3176","3176","5","5","5"
"81","3211","3211","3211","2","2","2","3211","3211","3211","16","16","16"
"82","3246","3246","3246","3","3","3","3246","3246","3246","17","17","17"
"83","3281","3281","3281","2","2","2","3281","3281","3281","18","18","18"
"84","3316","3316","3316","5","5","5","3316","3316","3316","19","19","19"
"85","3351","3351","3351","3","3","3","3351","3351","3351","20","20","20"
"86","3386","3386","3386","2","2","2","3386","3386","3386","21","21","21"
"87","3421","3421","3421","6","6","6","3421","3421","3421","22","22","22"
"88","3456","3456","3456","6","6","6","3456","3456","3456","23","23","23"
"89","3491","3491","3491","2","2","2","3491","3491","3491","24","24","24"
"90","3526","3526","3526","6","6","6","3526","3526","3526","25","25","25"
"91","3561","3561","3561","5","5","5","3561","3561","3561","26","26","26"
"92","3596","3596","3596","4","4","4","3596","3596","3596","27","27","27"
"93","3631","3631","3631","0","0","0","3631","3631","3631","28","28","28"
"94","3666","3666","3666","1","1","1","3666","3666","3666","29","29","29"
"95","3701","3701","3701","2","2","2","3701","3701","3701","30","30","30"
"96","3736","3736","3736","1","1","1","3736","3736","3736","31","31","31"
"97","3771","3771","3771","2","2","2","3771","3771","3771","32","32","32"
"98","3806","3806","3806","5","5","5","3806","3806","3806","33","33","33"
"99","3841","3841","3841","3","3","3","3841","3841","3841","34","34","34"
"100","3876","3876","3876","5","5","5","3876","3876","3876","35","35","35"
"101","3911","3911","3911","0","0","0","3911","3911","3911","36","36","36"
"102","3946","3946","3946","1","1","1","3946","3946","3946","37","37","37"
"103","3981","3981","3981","2","2","2","3981","3981","3981","38","38","38"
"104","4016","4016","4016","3","3","3","4016","4016","4016","39","39","39"
"105","4051","4051","4051","4","4","4","4051","4051","4051","40","40","40"
"106","4086","4086","4086","3","3","3","4086","4086","4086","41","41","41"
"107","4121","4121","4121","6","6","6","4121","4121","4121","42","42","42"
"108","4156","4156","4156","1","1","1","4156","4156","4156","0","0","0"
"109","4191","4191","4191","1","1","1","4191","4191","4191","1","1","1"
"110","4226","4226","4226","3","3","3","4226","4226","4226","2","2","2"
"111","4261","4261","4261","3","3","3","4261","4261","4261","3","3","3"
"112","4296","4296","4296","3","3","3","4296","4296","4296","4","4","4"
"113","4331","4331","4331","5","5","5","4331","4331","4331","5","5","5"
"114","4366","4366","4366","3","3","3","4366","4366","4366","6","6","6"
"115","4401","4401","4401","3","3","3","4401","4401","4401","7","7","7"
"116","4436","4436","4436","3","3","3","4436","4436","4436","8","8","8"
"117","4471","4471","4471","8","8","8","4471","4471","4471","9","9","9"
"118","4506","4506","4506","0","0","0","4506","4506","4506","10","10","10"
"119","4541","4541","4541","1","1","1","4541","4541","4541","11","11","11"
"120","4576","4576","4576","2","2","2","4576","4576","4576","12","12","12"
"121","4611","4611","4611","3","3","3","4611","4611","4611","13","13","13"
"122","4646","4646","4646","4","4","4","4646","4646","4646","14","14","14"
"123","4681","4681","4681","3","3","3","4681","4681","4681","15","15","15"
