"train/global_step","[paper]GEPO_diff4 - _step","[paper]GEPO_diff4 - _step__MIN","[paper]GEPO_diff4 - _step__MAX","[paper]GEPO_diff4 - train/cppo_kl","[paper]GEPO_diff4 - train/cppo_kl__MIN","[paper]GEPO_diff4 - train/cppo_kl__MAX","[paper]GEPO_diff32 - _step","[paper]GEPO_diff32 - _step__MIN","[paper]GEPO_diff32 - _step__MAX","[paper]GEPO_diff32 - train/cppo_kl","[paper]GEPO_diff32 - train/cppo_kl__MIN","[paper]GEPO_diff32 - train/cppo_kl__MAX"
"1","34","34","34","0.0016734345408622175","0.0016734345408622175","0.0016734345408622175","34","34","34","0.0013680851989192888","0.0013680851989192888","0.0013680851989192888"
"2","69","69","69","0.0013680851989192888","0.0013680851989192888","0.0013680851989192888","69","69","69","0.0015403207653434947","0.0015403207653434947","0.0015403207653434947"
"3","104","104","104","0.0014663045440101996","0.0014663045440101996","0.0014663045440101996","104","104","104","0.0015953976690070704","0.0015953976690070704","0.0015953976690070704"
"4","139","139","139","0.0015574627468595281","0.0015574627468595281","0.0015574627468595281","139","139","139","0.001978280211915262","0.001978280211915262","0.001978280211915262"
"5","174","174","174","0.0016472268325742334","0.0016472268325742334","0.0016472268325742334","174","174","174","0.0017674224800430238","0.0017674224800430238","0.0017674224800430238"
"6","209","209","209","0.001414744445355609","0.001414744445355609","0.001414744445355609","209","209","209","0.0014966390881454572","0.0014966390881454572","0.0014966390881454572"
"7","244","244","244","0.0015432458894792944","0.0015432458894792944","0.0015432458894792944","244","244","244","0.0015300566592486575","0.0015300566592486575","0.0015300566592486575"
"8","279","279","279","0.001466703528421931","0.001466703528421931","0.001466703528421931","279","279","279","0.001691371129709296","0.001691371129709296","0.001691371129709296"
"9","314","314","314","0.0016561733646085486","0.0016561733646085486","0.0016561733646085486","314","314","314","0.0014926804433343932","0.0014926804433343932","0.0014926804433343932"
"10","349","349","349","0.0014600345311919227","0.0014600345311919227","0.0014600345311919227","349","349","349","0.0015316568460548297","0.0015316568460548297","0.0015316568460548297"
"11","384","384","384","0.0015526491915807128","0.0015526491915807128","0.0015526491915807128","384","384","384","0.0017280440079048276","0.0017280440079048276","0.0017280440079048276"
"12","419","419","419","0.001578409515786916","0.001578409515786916","0.001578409515786916","419","419","419","0.0014046051364857703","0.0014046051364857703","0.0014046051364857703"
"13","454","454","454","0.0015056996344355866","0.0015056996344355866","0.0015056996344355866","454","454","454","0.0016294895176542923","0.0016294895176542923","0.0016294895176542923"
"14","489","489","489","0.0017254265840165317","0.0017254265840165317","0.0017254265840165317","489","489","489","0.0015029915230115876","0.0015029915230115876","0.0015029915230115876"
"15","524","524","524","0.001604073666385375","0.001604073666385375","0.001604073666385375","524","524","524","0.0017008347640512511","0.0017008347640512511","0.0017008347640512511"
"16","559","559","559","0.001472771749831736","0.001472771749831736","0.001472771749831736","559","559","559","0.057685679450514726","0.057685679450514726","0.057685679450514726"
"17","594","594","594","0.001511188325821422","0.001511188325821422","0.001511188325821422","594","594","594","0.0015016602410469204","0.0015016602410469204","0.0015016602410469204"
"18","629","629","629","0.0015703663666499779","0.0015703663666499779","0.0015703663666499779","629","629","629","0.001471451745601371","0.001471451745601371","0.001471451745601371"
"19","664","664","664","0.001342048024525866","0.001342048024525866","0.001342048024525866","664","664","664","0.0014159875427139923","0.0014159875427139923","0.0014159875427139923"
"20","699","699","699","0.0014738901372766122","0.0014738901372766122","0.0014738901372766122","699","699","699","0.0016631560283713043","0.0016631560283713043","0.0016631560283713043"
"21","734","734","734","0.0012930327648064122","0.0012930327648064122","0.0012930327648064122","734","734","734","0.0018285975384060293","0.0018285975384060293","0.0018285975384060293"
