"train/global_step","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - train/sts_var/ratio_pEqQ","[paper]GRPO_online - train/sts_var/ratio_pEqQ__MIN","[paper]GRPO_online - train/sts_var/ratio_pEqQ__MAX","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - train/sts_var/ratio_pEqQ","[paper]GEPO_online - train/sts_var/ratio_pEqQ__MIN","[paper]GEPO_online - train/sts_var/ratio_pEqQ__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - train/sts_var/ratio_pEqQ","[paper]GSPO_online - train/sts_var/ratio_pEqQ__MIN","[paper]GSPO_online - train/sts_var/ratio_pEqQ__MAX"
"1","179","179","179","0.0006332653774734354","0.0006332653774734354","0.0006332653774734354","179","179","179","0.0006332653774734354","0.0006332653774734354","0.0006332653774734354","179","179","179","0.0006332653774734354","0.0006332653774734354","0.0006332653774734354"
"2","208","208","208","0.0004531966333161108","0.0004531966333161108","0.0004531966333161108","208","208","208","0.0004531966333161108","0.0004531966333161108","0.0004531966333161108","208","208","208","0.0004531966333161108","0.0004531966333161108","0.0004531966333161108"
"3","237","237","237","0.0005663852607540321","0.0005663852607540321","0.0005663852607540321","237","237","237","0.0004483932862058282","0.0004483932862058282","0.0004483932862058282","237","237","237","0.000583212557103252","0.000583212557103252","0.000583212557103252"
"4","266","266","266","0.00038968077569734305","0.00038968077569734305","0.00038968077569734305","266","266","266","0.0003409760720387567","0.0003409760720387567","0.0003409760720387567","266","266","266","0.0003864534664899111","0.0003864534664899111","0.0003864534664899111"
"5","295","295","295","0.0002851519675459713","0.0002851519675459713","0.0002851519675459713","295","295","295","0.0003326161313452758","0.0003326161313452758","0.0003326161313452758","295","295","295","0.00027247298839938594","0.00027247298839938594","0.00027247298839938594"
"6","324","324","324","0.00113844737643376","0.00113844737643376","0.00113844737643376","324","324","324","0.001028758313623257","0.001028758313623257","0.001028758313623257","324","324","324","0.0009569659086992033","0.0009569659086992033","0.0009569659086992033"
"7","353","353","353","0.000979203494352987","0.000979203494352987","0.000979203494352987","353","353","353","0.0007338522173085948","0.0007338522173085948","0.0007338522173085948","353","353","353","0.00086543367797276","0.00086543367797276","0.00086543367797276"
"8","382","382","382","0.00038054010110499803","0.00038054010110499803","0.00038054010110499803","382","382","382","0.0004486823090701364","0.0004486823090701364","0.0004486823090701364","382","382","382","0.00041582250378269237","0.00041582250378269237","0.00041582250378269237"
"9","411","411","411","0.001070644852006808","0.001070644852006808","0.001070644852006808","411","411","411","0.001228996796271531","0.001228996796271531","0.001228996796271531","411","411","411","0.0011853905889438465","0.0011853905889438465","0.0011853905889438465"
"10","440","440","440","0.0006139010220067576","0.0006139010220067576","0.0006139010220067576","440","440","440","0.0008300615663756616","0.0008300615663756616","0.0008300615663756616","440","440","440","0.0006747974875906948","0.0006747974875906948","0.0006747974875906948"
"11","469","469","469","0.0010421893312013708","0.0010421893312013708","0.0010421893312013708","469","469","469","0.0010456798809173051","0.0010456798809173051","0.0010456798809173051","469","469","469","0.0011135558743262663","0.0011135558743262663","0.0011135558743262663"
"12","498","498","498","0.0003996872383140726","0.0003996872383140726","0.0003996872383140726","498","498","498","0.0004647438690881245","0.0004647438690881245","0.0004647438690881245","498","498","498","0.00042585857772792224","0.00042585857772792224","0.00042585857772792224"
"13","527","527","527","0.0009021791265695356","0.0009021791265695356","0.0009021791265695356","527","527","527","0.000983624966465868","0.000983624966465868","0.000983624966465868","527","527","527","0.0007993738036020659","0.0007993738036020659","0.0007993738036020659"
"14","556","556","556","0.001132400368078379","0.001132400368078379","0.001132400368078379","556","556","556","0.0013293517913552932","0.0013293517913552932","0.0013293517913552932","556","556","556","0.001133617690356914","0.001133617690356914","0.001133617690356914"
"15","585","585","585","0.00042430951361893676","0.00042430951361893676","0.00042430951361893676","585","585","585","0.0005194583782213158","0.0005194583782213158","0.0005194583782213158","585","585","585","0.00027194374069949845","0.00027194374069949845","0.00027194374069949845"
"16","614","614","614","0.0006554437240993138","0.0006554437240993138","0.0006554437240993138","614","614","614","0.0005926124867983162","0.0005926124867983162","0.0005926124867983162","614","614","614","0.0005774480814579874","0.0005774480814579874","0.0005774480814579874"
"17","643","643","643","0.0008705142190592596","0.0008705142190592596","0.0008705142190592596","643","643","643","0.000758713733375771","0.000758713733375771","0.000758713733375771","643","643","643","0.0007884137594373897","0.0007884137594373897","0.0007884137594373897"
"18","672","672","672","0.0004575705297611421","0.0004575705297611421","0.0004575705297611421","672","672","672","0.0004260396854078863","0.0004260396854078863","0.0004260396854078863","672","672","672","0.00043941656440438237","0.00043941656440438237","0.00043941656440438237"
"19","701","701","701","0.0009683253010734916","0.0009683253010734916","0.0009683253010734916","701","701","701","0.0010802139695442747","0.0010802139695442747","0.0010802139695442747","701","701","701","0.0010003759380197152","0.0010003759380197152","0.0010003759380197152"
"20","730","730","730","0.0006461004304583184","0.0006461004304583184","0.0006461004304583184","730","730","730","0.0008048575691645965","0.0008048575691645965","0.0008048575691645965","730","730","730","0.0006549637109856121","0.0006549637109856121","0.0006549637109856121"
"21","759","759","759","0.0009648856575950049","0.0009648856575950049","0.0009648856575950049","759","759","759","0.0008120804850477725","0.0008120804850477725","0.0008120804850477725","759","759","759","0.0009249041977454908","0.0009249041977454908","0.0009249041977454908"
"22","788","788","788","0.0007575904055556748","0.0007575904055556748","0.0007575904055556748","788","788","788","0.0006117045559221879","0.0006117045559221879","0.0006117045559221879","788","788","788","0.0007162825149862329","0.0007162825149862329","0.0007162825149862329"
"23","817","817","817","0.000930048779991921","0.000930048779991921","0.000930048779991921","817","817","817","0.0010500485077500343","0.0010500485077500343","0.0010500485077500343","817","817","817","0.0007559476798633114","0.0007559476798633114","0.0007559476798633114"
"24","846","846","846","0.0007226058651212952","0.0007226058651212952","0.0007226058651212952","846","846","846","0.0004904527213511756","0.0004904527213511756","0.0004904527213511756","846","846","846","0.0007551988855993841","0.0007551988855993841","0.0007551988855993841"
"25","875","875","875","0.0004362756881164387","0.0004362756881164387","0.0004362756881164387","875","875","875","0.0004077180074091302","0.0004077180074091302","0.0004077180074091302","875","875","875","0.00047870441085251514","0.00047870441085251514","0.00047870441085251514"
"26","904","904","904","0.0008824411852401681","0.0008824411852401681","0.0008824411852401681","904","904","904","0.0008370078539883252","0.0008370078539883252","0.0008370078539883252","904","904","904","0.0007964005635585636","0.0007964005635585636","0.0007964005635585636"
"27","933","933","933","0.00039998782813199796","0.00039998782813199796","0.00039998782813199796","933","933","933","0.0005336216509022051","0.0005336216509022051","0.0005336216509022051","933","933","933","0.00046313809252751525","0.00046313809252751525","0.00046313809252751525"
"28","962","962","962","0.0007239738915814087","0.0007239738915814087","0.0007239738915814087","962","962","962","0.0007178493324317969","0.0007178493324317969","0.0007178493324317969","962","962","962","0.0006883140231366269","0.0006883140231366269","0.0006883140231366269"
"29","991","991","991","0.0007043611149128992","0.0007043611149128992","0.0007043611149128992","991","991","991","0.0009116431428992655","0.0009116431428992655","0.0009116431428992655","991","991","991","0.0007201597618404776","0.0007201597618404776","0.0007201597618404776"
"30","1020","1020","1020","0.0006895734695717692","0.0006895734695717692","0.0006895734695717692","1020","1020","1020","0.0005202967604418518","0.0005202967604418518","0.0005202967604418518","1020","1020","1020","0.0005098262463434367","0.0005098262463434367","0.0005098262463434367"
"31","1049","1049","1049","0.0005030867323512211","0.0005030867323512211","0.0005030867323512211","1049","1049","1049","0.0004518245805229526","0.0004518245805229526","0.0004518245805229526","1049","1049","1049","0.0005817450837639626","0.0005817450837639626","0.0005817450837639626"
"32","1078","1078","1078","0.0005771014948550146","0.0005771014948550146","0.0005771014948550146","1078","1078","1078","0.0008371163148694905","0.0008371163148694905","0.0008371163148694905","1078","1078","1078","0.0007142651411413681","0.0007142651411413681","0.0007142651411413681"
"33","1258","1258","1258","0.0006776295012969058","0.0006776295012969058","0.0006776295012969058","1258","1258","1258","0.0005742008506786078","0.0005742008506786078","0.0005742008506786078","1258","1258","1258","0.0006370753053488443","0.0006370753053488443","0.0006370753053488443"
"34","1287","1287","1287","0.0006473487701441627","0.0006473487701441627","0.0006473487701441627","1287","1287","1287","0.0005527010871446691","0.0005527010871446691","0.0005527010871446691","1287","1287","1287","0.0007106848788680509","0.0007106848788680509","0.0007106848788680509"
"35","1316","1316","1316","0.001022503558488097","0.001022503558488097","0.001022503558488097","1316","1316","1316","0.0008174512968253111","0.0008174512968253111","0.0008174512968253111","1316","1316","1316","0.0008482732519041747","0.0008482732519041747","0.0008482732519041747"
"36","1345","1345","1345","0.00034155511821154505","0.00034155511821154505","0.00034155511821154505","1345","1345","1345","0.000323400263368967","0.000323400263368967","0.000323400263368967","1345","1345","1345","0.0003034916371689178","0.0003034916371689178","0.0003034916371689178"
"37","1374","1374","1374","0.0011701674047799315","0.0011701674047799315","0.0011701674047799315","1374","1374","1374","0.0012462603954190854","0.0012462603954190854","0.0012462603954190854","1374","1374","1374","0.0011266064648225438","0.0011266064648225438","0.0011266064648225438"
"38","1403","1403","1403","0.00042204184319416527","0.00042204184319416527","0.00042204184319416527","1403","1403","1403","0.00039632379048271105","0.00039632379048271105","0.00039632379048271105","1403","1403","1403","0.0003199223610863555","0.0003199223610863555","0.0003199223610863555"
"39","1432","1432","1432","0.0009234878161805682","0.0009234878161805682","0.0009234878161805682","1432","1432","1432","0.000761289044021396","0.000761289044021396","0.000761289044021396","1432","1432","1432","0.0008995475545816589","0.0008995475545816589","0.0008995475545816589"
"40","1461","1461","1461","0.0009217544975399505","0.0009217544975399505","0.0009217544975399505","1461","1461","1461","0.0008122916042339057","0.0008122916042339057","0.0008122916042339057","1461","1461","1461","0.0007030768538243137","0.0007030768538243137","0.0007030768538243137"
"41","1490","1490","1490","0.0007397338740702253","0.0007397338740702253","0.0007397338740702253","1490","1490","1490","0.0006118392266216688","0.0006118392266216688","0.0006118392266216688","1490","1490","1490","0.0006347175039991271","0.0006347175039991271","0.0006347175039991271"
"42","1519","1519","1519","0.000499074785693665","0.000499074785693665","0.000499074785693665","1519","1519","1519","0.0004842407470277976","0.0004842407470277976","0.0004842407470277976","1519","1519","1519","0.0005490223193191923","0.0005490223193191923","0.0005490223193191923"
"43","1548","1548","1548","0.00042801011750270845","0.00042801011750270845","0.00042801011750270845","1548","1548","1548","0.0006737301882822067","0.0006737301882822067","0.0006737301882822067","1548","1548","1548","0.0006679357848042855","0.0006679357848042855","0.0006679357848042855"
"44","1577","1577","1577","0.0002439790823700605","0.0002439790823700605","0.0002439790823700605","1577","1577","1577","0.00028296944401517976","0.00028296944401517976","0.00028296944401517976","1577","1577","1577","0.0003650656817626441","0.0003650656817626441","0.0003650656817626441"
"45","1606","1606","1606","0.0010884991352213547","0.0010884991352213547","0.0010884991352213547","1606","1606","1606","0.0010425503496662714","0.0010425503496662714","0.0010425503496662714","1606","1606","1606","0.0011230938907829113","0.0011230938907829113","0.0011230938907829113"
"46","1635","1635","1635","0.0005946989149379078","0.0005946989149379078","0.0005946989149379078","1635","1635","1635","0.0007061494688969105","0.0007061494688969105","0.0007061494688969105","1635","1635","1635","0.000850506226925063","0.000850506226925063","0.000850506226925063"
"47","1664","1664","1664","0.0006428771994251292","0.0006428771994251292","0.0006428771994251292","1664","1664","1664","0.0007781255426380085","0.0007781255426380085","0.0007781255426380085","1664","1664","1664","0.0006480942497546494","0.0006480942497546494","0.0006480942497546494"
"48","1693","1693","1693","0.00054836719573359","0.00054836719573359","0.00054836719573359","1693","1693","1693","0.0006068730544939172","0.0006068730544939172","0.0006068730544939172","1693","1693","1693","0.0007412682025460526","0.0007412682025460526","0.0007412682025460526"
"49","1722","1722","1722","0.0009567204397171736","0.0009567204397171736","0.0009567204397171736","1722","1722","1722","0.0006994908308115555","0.0006994908308115555","0.0006994908308115555","1722","1722","1722","0.0010090160722029395","0.0010090160722029395","0.0010090160722029395"
"50","1751","1751","1751","0.0005500246661540587","0.0005500246661540587","0.0005500246661540587","1751","1751","1751","0.0005140453358762898","0.0005140453358762898","0.0005140453358762898","1751","1751","1751","0.0004796312077814946","0.0004796312077814946","0.0004796312077814946"
"51","1780","1780","1780","0.000462889984191861","0.000462889984191861","0.000462889984191861","1780","1780","1780","0.0005606861350315739","0.0005606861350315739","0.0005606861350315739","1780","1780","1780","0.0005323009499988984","0.0005323009499988984","0.0005323009499988984"
"52","1809","1809","1809","0.0007559668229077943","0.0007559668229077943","0.0007559668229077943","1809","1809","1809","0.000788695480878232","0.000788695480878232","0.000788695480878232","1809","1809","1809","0.0007199726787803229","0.0007199726787803229","0.0007199726787803229"
"53","1838","1838","1838","0.0010678912367438897","0.0010678912367438897","0.0010678912367438897","1838","1838","1838","0.0009188450530928094","0.0009188450530928094","0.0009188450530928094","1838","1838","1838","0.0008612665114924312","0.0008612665114924312","0.0008612665114924312"
