"train/global_step","[benchmark_diff32]GSPO - _step","[benchmark_diff32]GSPO - _step__MIN","[benchmark_diff32]GSPO - _step__MAX","[benchmark_diff32]GSPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GSPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GSPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GRPO - _step","[benchmark_diff32]GRPO - _step__MIN","[benchmark_diff32]GRPO - _step__MAX","[benchmark_diff32]GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]dr_GRPO - _step","[benchmark_diff32]dr_GRPO - _step__MIN","[benchmark_diff32]dr_GRPO - _step__MAX","[benchmark_diff32]dr_GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]dr_GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]dr_GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GEPO - _step","[benchmark_diff32]GEPO - _step__MIN","[benchmark_diff32]GEPO - _step__MAX","[benchmark_diff32]GEPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GEPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GEPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX"
"64","2753","2753","2753","0.03125","0.03125","0.03125","2753","2753","2753","0.01953125","0.01953125","0.01953125","2753","2753","2753","0.015625","0.015625","0.015625","2753","2753","2753","0.04296875","0.04296875","0.04296875"
"128","6514","6514","6514","0.0859375","0.0859375","0.0859375","6514","6514","6514","0.04296875","0.04296875","0.04296875","6514","6514","6514","0.01953125","0.01953125","0.01953125","6514","6514","6514","0.0859375","0.0859375","0.0859375"
"192","10275","10275","10275","0.140625","0.140625","0.140625","10275","10275","10275","0.01953125","0.01953125","0.01953125","10275","10275","10275","0.0390625","0.0390625","0.0390625","10275","10275","10275","0.11328125","0.11328125","0.11328125"
"256","14036","14036","14036","0.171875","0.171875","0.171875","14036","14036","14036","0.04296875","0.04296875","0.04296875","14036","14036","14036","0.03515625","0.03515625","0.03515625","14036","14036","14036","0.1328125","0.1328125","0.1328125"
"320","17797","17797","17797","0.08984375","0.08984375","0.08984375","17797","17797","17797","0.0625","0.0625","0.0625","17797","17797","17797","0.04296875","0.04296875","0.04296875","17797","17797","17797","0.15234375","0.15234375","0.15234375"
"384","21558","21558","21558","0.0546875","0.0546875","0.0546875","21558","21558","21558","0.04296875","0.04296875","0.04296875","21558","21558","21558","0.046875","0.046875","0.046875","21558","21558","21558","0.15234375","0.15234375","0.15234375"
"448","25319","25319","25319","0.0703125","0.0703125","0.0703125","25319","25319","25319","0.0546875","0.0546875","0.0546875","25319","25319","25319","0.08203125","0.08203125","0.08203125","25319","25319","25319","0.171875","0.171875","0.171875"
"512","29080","29080","29080","0.05859375","0.05859375","0.05859375","29080","29080","29080","0.09375","0.09375","0.09375","29080","29080","29080","0.05859375","0.05859375","0.05859375","29080","29080","29080","0.14453125","0.14453125","0.14453125"
"576","32841","32841","32841","0.13671875","0.13671875","0.13671875","32841","32841","32841","0.08203125","0.08203125","0.08203125","32841","32841","32841","0.0546875","0.0546875","0.0546875","32841","32841","32841","0.18359375","0.18359375","0.18359375"
"640","36602","36602","36602","0.0390625","0.0390625","0.0390625","36602","36602","36602","0.08203125","0.08203125","0.08203125","36602","36602","36602","0.0625","0.0625","0.0625","36602","36602","36602","0.1484375","0.1484375","0.1484375"
"704","40363","40363","40363","0.14453125","0.14453125","0.14453125","40363","40363","40363","0.109375","0.109375","0.109375","40363","40363","40363","0.0859375","0.0859375","0.0859375","40363","40363","40363","0.140625","0.140625","0.140625"
"768","44124","44124","44124","0.1640625","0.1640625","0.1640625","44124","44124","44124","0.11328125","0.11328125","0.11328125","44124","44124","44124","0.09765625","0.09765625","0.09765625","44124","44124","44124","0.1171875","0.1171875","0.1171875"
"832","47885","47885","47885","0.15234375","0.15234375","0.15234375","47885","47885","47885","0.1015625","0.1015625","0.1015625","47885","47885","47885","0.08203125","0.08203125","0.08203125","47885","47885","47885","0.1640625","0.1640625","0.1640625"
"896","51646","51646","51646","0.171875","0.171875","0.171875","51646","51646","51646","0.09765625","0.09765625","0.09765625","51646","51646","51646","0.109375","0.109375","0.109375","51646","51646","51646","0.1796875","0.1796875","0.1796875"
"960","55407","55407","55407","0.17578125","0.17578125","0.17578125","55407","55407","55407","0.13671875","0.13671875","0.13671875","55407","55407","55407","0.12109375","0.12109375","0.12109375","55407","55407","55407","0.16796875","0.16796875","0.16796875"
"1024","59168","59168","59168","0.171875","0.171875","0.171875","59168","59168","59168","0.140625","0.140625","0.140625","59168","59168","59168","0.12890625","0.12890625","0.12890625","59168","59168","59168","0.21875","0.21875","0.21875"
"1088","62929","62929","62929","0.1171875","0.1171875","0.1171875","62929","62929","62929","0.140625","0.140625","0.140625","62929","62929","62929","0.16015625","0.16015625","0.16015625","62929","62929","62929","0.1796875","0.1796875","0.1796875"
"1152","66690","66690","66690","0.078125","0.078125","0.078125","66690","66690","66690","0.19140625","0.19140625","0.19140625","66690","66690","66690","0.15625","0.15625","0.15625","66690","66690","66690","0.1953125","0.1953125","0.1953125"
"1216","70451","70451","70451","0.015625","0.015625","0.015625","70451","70451","70451","0.14453125","0.14453125","0.14453125","70451","70451","70451","0.125","0.125","0.125","70451","70451","70451","0.19140625","0.19140625","0.19140625"
"1280","","","","","","","74212","74212","74212","0.14453125","0.14453125","0.14453125","74212","74212","74212","0.171875","0.171875","0.171875","74212","74212","74212","0.21875","0.21875","0.21875"
