"train/global_step","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - eval/rewards/accuracy_reward_lv35/mean","[paper]GEPO_online - eval/rewards/accuracy_reward_lv35/mean__MIN","[paper]GEPO_online - eval/rewards/accuracy_reward_lv35/mean__MAX","[paper]BNPO_online - _step","[paper]BNPO_online - _step__MIN","[paper]BNPO_online - _step__MAX","[paper]BNPO_online - eval/rewards/accuracy_reward_lv35/mean","[paper]BNPO_online - eval/rewards/accuracy_reward_lv35/mean__MIN","[paper]BNPO_online - eval/rewards/accuracy_reward_lv35/mean__MAX","[paper]drGRPO_online - _step","[paper]drGRPO_online - _step__MIN","[paper]drGRPO_online - _step__MAX","[paper]drGRPO_online - eval/rewards/accuracy_reward_lv35/mean","[paper]drGRPO_online - eval/rewards/accuracy_reward_lv35/mean__MIN","[paper]drGRPO_online - eval/rewards/accuracy_reward_lv35/mean__MAX","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - eval/rewards/accuracy_reward_lv35/mean","[paper]GRPO_online - eval/rewards/accuracy_reward_lv35/mean__MIN","[paper]GRPO_online - eval/rewards/accuracy_reward_lv35/mean__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - eval/rewards/accuracy_reward_lv35/mean","[paper]GSPO_online - eval/rewards/accuracy_reward_lv35/mean__MIN","[paper]GSPO_online - eval/rewards/accuracy_reward_lv35/mean__MAX"
"0","151","151","151","0.428125","0.428125","0.428125","151","151","151","0.428125","0.428125","0.428125","151","151","151","0.428125","0.428125","0.428125","151","151","151","0.428125","0.428125","0.428125","151","151","151","0.428125","0.428125","0.428125"
"32","","","","","","","1230","1230","1230","0.434375","0.434375","0.434375","1230","1230","1230","0.4375","0.4375","0.4375","1230","1230","1230","0.42","0.42","0.42","1230","1230","1230","0.423125","0.423125","0.423125"
"64","2158","2158","2158","0.55125","0.55125","0.55125","2309","2309","2309","0.534375","0.534375","0.534375","2309","2309","2309","0.53625","0.53625","0.53625","2309","2309","2309","0.553125","0.553125","0.553125","2309","2309","2309","0.559375","0.559375","0.559375"
"96","","","","","","","3388","3388","3388","0.63125","0.63125","0.63125","3388","3388","3388","0.63375","0.63375","0.63375","3388","3388","3388","0.64375","0.64375","0.64375","3388","3388","3388","0.635625","0.635625","0.635625"
"128","4165","4165","4165","0.67625","0.67625","0.67625","4467","4467","4467","0.67875","0.67875","0.67875","4467","4467","4467","0.681875","0.681875","0.681875","4467","4467","4467","0.68375","0.68375","0.68375","4467","4467","4467","0.685625","0.685625","0.685625"
"160","","","","","","","5546","5546","5546","0.705","0.705","0.705","5546","5546","5546","0.716875","0.716875","0.716875","5546","5546","5546","0.70125","0.70125","0.70125","5546","5546","5546","0.695625","0.695625","0.695625"
"192","6172","6172","6172","0.734375","0.734375","0.734375","6625","6625","6625","0.714375","0.714375","0.714375","6625","6625","6625","0.734375","0.734375","0.734375","6625","6625","6625","0.711875","0.711875","0.711875","6625","6625","6625","0.72625","0.72625","0.72625"
"224","","","","","","","7704","7704","7704","0.74125","0.74125","0.74125","7704","7704","7704","0.740625","0.740625","0.740625","7704","7704","7704","0.72625","0.72625","0.72625","7704","7704","7704","0.743125","0.743125","0.743125"
"256","8179","8179","8179","0.736875","0.736875","0.736875","8783","8783","8783","0.728125","0.728125","0.728125","8783","8783","8783","0.74375","0.74375","0.74375","8783","8783","8783","0.725625","0.725625","0.725625","8783","8783","8783","0.746875","0.746875","0.746875"
"288","","","","","","","9862","9862","9862","0.73125","0.73125","0.73125","9862","9862","9862","0.7325","0.7325","0.7325","9862","9862","9862","0.745","0.745","0.745","9862","9862","9862","0.740625","0.740625","0.740625"
"320","10186","10186","10186","0.74375","0.74375","0.74375","10941","10941","10941","0.733125","0.733125","0.733125","10941","10941","10941","0.716875","0.716875","0.716875","10941","10941","10941","0.7425","0.7425","0.7425","10941","10941","10941","0.7475","0.7475","0.7475"
"352","","","","","","","12020","12020","12020","0.73875","0.73875","0.73875","12020","12020","12020","0.721875","0.721875","0.721875","12020","12020","12020","0.75875","0.75875","0.75875","12020","12020","12020","0.730625","0.730625","0.730625"
"384","12193","12193","12193","0.741875","0.741875","0.741875","13099","13099","13099","0.738125","0.738125","0.738125","13099","13099","13099","0.738125","0.738125","0.738125","13099","13099","13099","0.7325","0.7325","0.7325","13099","13099","13099","0.7425","0.7425","0.7425"
"416","","","","","","","14178","14178","14178","0.7325","0.7325","0.7325","14178","14178","14178","0.725","0.725","0.725","14178","14178","14178","0.745","0.745","0.745","14178","14178","14178","0.740625","0.740625","0.740625"
"448","14200","14200","14200","0.745","0.745","0.745","15257","15257","15257","0.731875","0.731875","0.731875","15257","15257","15257","0.72875","0.72875","0.72875","15257","15257","15257","0.744375","0.744375","0.744375","15257","15257","15257","0.74125","0.74125","0.74125"
"480","","","","","","","16336","16336","16336","0.72625","0.72625","0.72625","16336","16336","16336","0.730625","0.730625","0.730625","16336","16336","16336","0.750625","0.750625","0.750625","16336","16336","16336","0.753125","0.753125","0.753125"
"512","16207","16207","16207","0.745","0.745","0.745","17415","17415","17415","0.71125","0.71125","0.71125","17415","17415","17415","0.71125","0.71125","0.71125","17415","17415","17415","0.7425","0.7425","0.7425","17415","17415","17415","0.759375","0.759375","0.759375"
"544","","","","","","","18494","18494","18494","0.711875","0.711875","0.711875","18494","18494","18494","0.70125","0.70125","0.70125","18494","18494","18494","0.755625","0.755625","0.755625","18494","18494","18494","0.781875","0.781875","0.781875"
"576","18214","18214","18214","0.754375","0.754375","0.754375","19573","19573","19573","0.53375","0.53375","0.53375","19573","19573","19573","0.68375","0.68375","0.68375","19573","19573","19573","0.766875","0.766875","0.766875","19573","19573","19573","0.76125","0.76125","0.76125"
"608","","","","","","","20652","20652","20652","0","0","0","20652","20652","20652","0.0125","0.0125","0.0125","20652","20652","20652","0.76625","0.76625","0.76625","20652","20652","20652","0.764375","0.764375","0.764375"
"640","20221","20221","20221","0.75625","0.75625","0.75625","21731","21731","21731","0","0","0","21731","21731","21731","0","0","0","21731","21731","21731","0.77125","0.77125","0.77125","21731","21731","21731","0.766875","0.766875","0.766875"
"672","","","","","","","22810","22810","22810","0","0","0","22810","22810","22810","0.020625","0.020625","0.020625","22810","22810","22810","0.7525","0.7525","0.7525","22810","22810","22810","0.760625","0.760625","0.760625"
"704","22228","22228","22228","0.7575","0.7575","0.7575","23889","23889","23889","0","0","0","23889","23889","23889","0.02625","0.02625","0.02625","23889","23889","23889","0.75625","0.75625","0.75625","23889","23889","23889","0.771875","0.771875","0.771875"
"736","","","","","","","24968","24968","24968","0","0","0","24968","24968","24968","0.263125","0.263125","0.263125","24968","24968","24968","0.755625","0.755625","0.755625","24968","24968","24968","0.774375","0.774375","0.774375"
"768","24235","24235","24235","0.765625","0.765625","0.765625","26047","26047","26047","0","0","0","26047","26047","26047","0.28625","0.28625","0.28625","26047","26047","26047","0.7625","0.7625","0.7625","26047","26047","26047","0.77125","0.77125","0.77125"
"800","","","","","","","27126","27126","27126","0","0","0","27126","27126","27126","0.0675","0.0675","0.0675","27126","27126","27126","0.743125","0.743125","0.743125","27126","27126","27126","0.7775","0.7775","0.7775"
"832","26242","26242","26242","0.763125","0.763125","0.763125","28205","28205","28205","0","0","0","28205","28205","28205","0.2375","0.2375","0.2375","28205","28205","28205","0.746875","0.746875","0.746875","28205","28205","28205","0.769375","0.769375","0.769375"
"864","","","","","","","","","","","","","29284","29284","29284","0.210625","0.210625","0.210625","29284","29284","29284","0.74875","0.74875","0.74875","29284","29284","29284","0.76625","0.76625","0.76625"
"896","28249","28249","28249","0.7775","0.7775","0.7775","","","","","","","30363","30363","30363","0.279375","0.279375","0.279375","30363","30363","30363","0.69375","0.69375","0.69375","30363","30363","30363","0.766875","0.766875","0.766875"
"928","","","","","","","","","","","","","","","","","","","31442","31442","31442","0.0625","0.0625","0.0625","31442","31442","31442","0.77","0.77","0.77"
"960","30256","30256","30256","0.769375","0.769375","0.769375","","","","","","","","","","","","","32521","32521","32521","0.28875","0.28875","0.28875","32521","32521","32521","0.7575","0.7575","0.7575"
"992","","","","","","","","","","","","","","","","","","","33600","33600","33600","0.444375","0.444375","0.444375","33600","33600","33600","0.749375","0.749375","0.749375"
"1024","32263","32263","32263","0.76125","0.76125","0.76125","","","","","","","","","","","","","34679","34679","34679","0.445","0.445","0.445","34679","34679","34679","0.758125","0.758125","0.758125"
"1056","","","","","","","","","","","","","","","","","","","35758","35758","35758","0.438125","0.438125","0.438125","35758","35758","35758","0.765","0.765","0.765"
"1088","34270","34270","34270","0.78","0.78","0.78","","","","","","","","","","","","","36837","36837","36837","0.28875","0.28875","0.28875","36837","36837","36837","0.769375","0.769375","0.769375"
"1120","","","","","","","","","","","","","","","","","","","37916","37916","37916","0.390625","0.390625","0.390625","37916","37916","37916","0.758125","0.758125","0.758125"
"1152","36277","36277","36277","0.790625","0.790625","0.790625","","","","","","","","","","","","","38995","38995","38995","0.376875","0.376875","0.376875","38995","38995","38995","0.738125","0.738125","0.738125"
"1184","","","","","","","","","","","","","","","","","","","40074","40074","40074","0.408125","0.408125","0.408125","40074","40074","40074","0.69375","0.69375","0.69375"
"1216","38284","38284","38284","0.77625","0.77625","0.77625","","","","","","","","","","","","","41153","41153","41153","0.446875","0.446875","0.446875","41153","41153","41153","0.10375","0.10375","0.10375"
"1248","","","","","","","","","","","","","","","","","","","42232","42232","42232","0.420625","0.420625","0.420625","42232","42232","42232","0.2075","0.2075","0.2075"
"1280","40291","40291","40291","0.759375","0.759375","0.759375","","","","","","","","","","","","","","","","","","","43311","43311","43311","0.31625","0.31625","0.31625"
