"train/global_step","[benchmark]BNPO - _step","[benchmark]BNPO - _step__MIN","[benchmark]BNPO - _step__MAX","[benchmark]BNPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark]BNPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]BNPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]dr_GRPO - _step","[benchmark]dr_GRPO - _step__MIN","[benchmark]dr_GRPO - _step__MAX","[benchmark]dr_GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark]dr_GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]dr_GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GSPO - _step","[benchmark]GSPO - _step__MIN","[benchmark]GSPO - _step__MAX","[benchmark]GSPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark]GSPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GSPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GEPO - _step","[benchmark]GEPO - _step__MIN","[benchmark]GEPO - _step__MAX","[benchmark]GEPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark]GEPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GEPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GRPO - _step","[benchmark]GRPO - _step__MIN","[benchmark]GRPO - _step__MAX","[benchmark]GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean","[benchmark]GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GRPO - eval/eval_aime_2024_rewards/accuracy_reward_lv35/mean__MAX"
"0","207","207","207","0.015625","0.015625","0.015625","207","207","207","0.015625","0.015625","0.015625","207","207","207","0.015625","0.015625","0.015625","207","207","207","0.015625","0.015625","0.015625","207","207","207","0.015625","0.015625","0.015625"
"64","2674","2674","2674","0.08203125","0.08203125","0.08203125","2674","2674","2674","0.05078125","0.05078125","0.05078125","2674","2674","2674","0.06640625","0.06640625","0.06640625","2674","2674","2674","0.046875","0.046875","0.046875","2674","2674","2674","0.0859375","0.0859375","0.0859375"
"128","5141","5141","5141","0.16796875","0.16796875","0.16796875","5141","5141","5141","0.140625","0.140625","0.140625","5141","5141","5141","0.15625","0.15625","0.15625","5141","5141","5141","0.171875","0.171875","0.171875","5141","5141","5141","0.17578125","0.17578125","0.17578125"
"192","7608","7608","7608","0.140625","0.140625","0.140625","7608","7608","7608","0.1484375","0.1484375","0.1484375","7608","7608","7608","0.1484375","0.1484375","0.1484375","7608","7608","7608","0.1796875","0.1796875","0.1796875","7608","7608","7608","0.203125","0.203125","0.203125"
"256","10075","10075","10075","0.18359375","0.18359375","0.18359375","10075","10075","10075","0.1796875","0.1796875","0.1796875","10075","10075","10075","0.21484375","0.21484375","0.21484375","10075","10075","10075","0.171875","0.171875","0.171875","10075","10075","10075","0.1796875","0.1796875","0.1796875"
"320","12542","12542","12542","0.18359375","0.18359375","0.18359375","12542","12542","12542","0.16796875","0.16796875","0.16796875","12542","12542","12542","0.19921875","0.19921875","0.19921875","12542","12542","12542","0.1796875","0.1796875","0.1796875","12542","12542","12542","0.17578125","0.17578125","0.17578125"
"384","15009","15009","15009","0.171875","0.171875","0.171875","15009","15009","15009","0.16796875","0.16796875","0.16796875","15009","15009","15009","0.20703125","0.20703125","0.20703125","15009","15009","15009","0.1796875","0.1796875","0.1796875","15009","15009","15009","0.19140625","0.19140625","0.19140625"
"448","17476","17476","17476","0.1484375","0.1484375","0.1484375","17476","17476","17476","0.1484375","0.1484375","0.1484375","17476","17476","17476","0.21484375","0.21484375","0.21484375","17476","17476","17476","0.18359375","0.18359375","0.18359375","17476","17476","17476","0.18359375","0.18359375","0.18359375"
"512","19943","19943","19943","0.15625","0.15625","0.15625","19943","19943","19943","0.19140625","0.19140625","0.19140625","19943","19943","19943","0.22265625","0.22265625","0.22265625","19943","19943","19943","0.203125","0.203125","0.203125","19943","19943","19943","0.203125","0.203125","0.203125"
"576","22410","22410","22410","0","0","0","22410","22410","22410","0.10546875","0.10546875","0.10546875","22410","22410","22410","0.23828125","0.23828125","0.23828125","22410","22410","22410","0.17578125","0.17578125","0.17578125","22410","22410","22410","0.1796875","0.1796875","0.1796875"
"640","24877","24877","24877","0","0","0","24877","24877","24877","0.0078125","0.0078125","0.0078125","24877","24877","24877","0.19921875","0.19921875","0.19921875","24877","24877","24877","0.1640625","0.1640625","0.1640625","24877","24877","24877","0.203125","0.203125","0.203125"
"704","27344","27344","27344","0","0","0","27344","27344","27344","0","0","0","27344","27344","27344","0.21875","0.21875","0.21875","27344","27344","27344","0.19921875","0.19921875","0.19921875","27344","27344","27344","0.1953125","0.1953125","0.1953125"
"768","29811","29811","29811","0.03515625","0.03515625","0.03515625","29811","29811","29811","0","0","0","29811","29811","29811","0.18359375","0.18359375","0.18359375","29811","29811","29811","0.1796875","0.1796875","0.1796875","29811","29811","29811","0.19140625","0.19140625","0.19140625"
"832","32278","32278","32278","0","0","0","32278","32278","32278","0","0","0","32278","32278","32278","0.15625","0.15625","0.15625","32278","32278","32278","0.18359375","0.18359375","0.18359375","32278","32278","32278","0.20703125","0.20703125","0.20703125"
"896","34745","34745","34745","0","0","0","34745","34745","34745","0.0078125","0.0078125","0.0078125","34745","34745","34745","0.04296875","0.04296875","0.04296875","34745","34745","34745","0.21484375","0.21484375","0.21484375","34745","34745","34745","0.15234375","0.15234375","0.15234375"
"960","37212","37212","37212","0","0","0","37212","37212","37212","0.0078125","0.0078125","0.0078125","37212","37212","37212","0.0234375","0.0234375","0.0234375","37212","37212","37212","0.21875","0.21875","0.21875","37212","37212","37212","0.16015625","0.16015625","0.16015625"
"1024","39679","39679","39679","0","0","0","39679","39679","39679","0.00390625","0.00390625","0.00390625","39679","39679","39679","0.0234375","0.0234375","0.0234375","39679","39679","39679","0.1953125","0.1953125","0.1953125","39679","39679","39679","0","0","0"
"1088","42146","42146","42146","0","0","0","42146","42146","42146","0.0078125","0.0078125","0.0078125","42146","42146","42146","0.0390625","0.0390625","0.0390625","42146","42146","42146","0.1640625","0.1640625","0.1640625","42146","42146","42146","0","0","0"
"1152","44613","44613","44613","0","0","0","44613","44613","44613","0.0234375","0.0234375","0.0234375","44613","44613","44613","0.04296875","0.04296875","0.04296875","44613","44613","44613","0.19140625","0.19140625","0.19140625","44613","44613","44613","0.00390625","0.00390625","0.00390625"
