"train/global_step","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - train/grad_norm","[paper]GRPO_online - train/grad_norm__MIN","[paper]GRPO_online - train/grad_norm__MAX","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - train/grad_norm","[paper]GEPO_online - train/grad_norm__MIN","[paper]GEPO_online - train/grad_norm__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - train/grad_norm","[paper]GSPO_online - train/grad_norm__MIN","[paper]GSPO_online - train/grad_norm__MAX"
"1","179","179","179","0.1289016455411911","0.1289016455411911","0.1289016455411911","179","179","179","0.1287611871957779","0.1287611871957779","0.1287611871957779","179","179","179","0.1289052814245224","0.1289052814245224","0.1289052814245224"
"2","208","208","208","0.11522302031517029","0.11522302031517029","0.11522302031517029","208","208","208","0.11545169353485107","0.11545169353485107","0.11545169353485107","208","208","208","0.11522991955280304","0.11522991955280304","0.11522991955280304"
"3","237","237","237","0.11550894379615784","0.11550894379615784","0.11550894379615784","237","237","237","0.11593183130025864","0.11593183130025864","0.11593183130025864","237","237","237","0.10591944307088852","0.10591944307088852","0.10591944307088852"
"4","266","266","266","0.1110941469669342","0.1110941469669342","0.1110941469669342","266","266","266","0.11432410776615143","0.11432410776615143","0.11432410776615143","266","266","266","0.09662224352359772","0.09662224352359772","0.09662224352359772"
"5","295","295","295","0.11045908182859421","0.11045908182859421","0.11045908182859421","295","295","295","0.11661248654127121","0.11661248654127121","0.11661248654127121","295","295","295","0.11225580424070358","0.11225580424070358","0.11225580424070358"
"6","324","324","324","0.0944141149520874","0.0944141149520874","0.0944141149520874","324","324","324","0.11071550846099854","0.11071550846099854","0.11071550846099854","324","324","324","0.10203506797552109","0.10203506797552109","0.10203506797552109"
"7","353","353","353","0.10637615621089935","0.10637615621089935","0.10637615621089935","353","353","353","0.10453017801046371","0.10453017801046371","0.10453017801046371","353","353","353","0.09235388040542603","0.09235388040542603","0.09235388040542603"
"8","382","382","382","0.10210948437452316","0.10210948437452316","0.10210948437452316","382","382","382","0.11079200357198715","0.11079200357198715","0.11079200357198715","382","382","382","0.11517048627138138","0.11517048627138138","0.11517048627138138"
"9","411","411","411","0.12861937284469604","0.12861937284469604","0.12861937284469604","411","411","411","0.14027203619480133","0.14027203619480133","0.14027203619480133","411","411","411","0.1265850067138672","0.1265850067138672","0.1265850067138672"
"10","440","440","440","0.11760198324918747","0.11760198324918747","0.11760198324918747","440","440","440","0.09075237065553665","0.09075237065553665","0.09075237065553665","440","440","440","0.1103583574295044","0.1103583574295044","0.1103583574295044"
"11","469","469","469","0.09854281693696976","0.09854281693696976","0.09854281693696976","469","469","469","0.10886699706315994","0.10886699706315994","0.10886699706315994","469","469","469","0.10533609241247177","0.10533609241247177","0.10533609241247177"
"12","498","498","498","0.1139049157500267","0.1139049157500267","0.1139049157500267","498","498","498","0.11765590310096741","0.11765590310096741","0.11765590310096741","498","498","498","0.12155306339263916","0.12155306339263916","0.12155306339263916"
"13","527","527","527","0.10929443687200546","0.10929443687200546","0.10929443687200546","527","527","527","0.11260972917079926","0.11260972917079926","0.11260972917079926","527","527","527","0.1073002740740776","0.1073002740740776","0.1073002740740776"
"14","556","556","556","0.12302597612142563","0.12302597612142563","0.12302597612142563","556","556","556","0.12795522809028625","0.12795522809028625","0.12795522809028625","556","556","556","0.10689360648393631","0.10689360648393631","0.10689360648393631"
"15","585","585","585","0.07627513259649277","0.07627513259649277","0.07627513259649277","585","585","585","0.09402509033679962","0.09402509033679962","0.09402509033679962","585","585","585","0.12086694687604904","0.12086694687604904","0.12086694687604904"
"16","614","614","614","0.1303873360157013","0.1303873360157013","0.1303873360157013","614","614","614","0.10030601173639297","0.10030601173639297","0.10030601173639297","614","614","614","0.13194149732589722","0.13194149732589722","0.13194149732589722"
"17","643","643","643","0.07913436740636826","0.07913436740636826","0.07913436740636826","643","643","643","0.09274086356163025","0.09274086356163025","0.09274086356163025","643","643","643","0.08170250058174133","0.08170250058174133","0.08170250058174133"
"18","672","672","672","0.12222309410572052","0.12222309410572052","0.12222309410572052","672","672","672","0.14695483446121216","0.14695483446121216","0.14695483446121216","672","672","672","0.14004091918468475","0.14004091918468475","0.14004091918468475"
"19","701","701","701","0.09336115419864655","0.09336115419864655","0.09336115419864655","701","701","701","0.07127556949853897","0.07127556949853897","0.07127556949853897","701","701","701","0.08061421662569046","0.08061421662569046","0.08061421662569046"
"20","730","730","730","0.1104869395494461","0.1104869395494461","0.1104869395494461","730","730","730","0.09653841704130173","0.09653841704130173","0.09653841704130173","730","730","730","0.09372100979089737","0.09372100979089737","0.09372100979089737"
"21","759","759","759","0.12613226473331451","0.12613226473331451","0.12613226473331451","759","759","759","0.13985054194927216","0.13985054194927216","0.13985054194927216","759","759","759","0.11491191387176514","0.11491191387176514","0.11491191387176514"
