"train/global_step","[paper]GRPO_online - _step","[paper]GRPO_online - _step__MIN","[paper]GRPO_online - _step__MAX","[paper]GRPO_online - train/reward","[paper]GRPO_online - train/reward__MIN","[paper]GRPO_online - train/reward__MAX","[paper]GEPO_online - _step","[paper]GEPO_online - _step__MIN","[paper]GEPO_online - _step__MAX","[paper]GEPO_online - train/reward","[paper]GEPO_online - train/reward__MIN","[paper]GEPO_online - train/reward__MAX","[paper]GSPO_online - _step","[paper]GSPO_online - _step__MIN","[paper]GSPO_online - _step__MAX","[paper]GSPO_online - train/reward","[paper]GSPO_online - train/reward__MIN","[paper]GSPO_online - train/reward__MAX"
"1","179","179","179","0.4453125","0.4453125","0.4453125","179","179","179","0.4453125","0.4453125","0.4453125","179","179","179","0.4453125","0.4453125","0.4453125"
"2","208","208","208","0.4609375","0.4609375","0.4609375","208","208","208","0.4609375","0.4609375","0.4609375","208","208","208","0.4609375","0.4609375","0.4609375"
"3","237","237","237","0.4453125","0.4453125","0.4453125","237","237","237","0.44140625","0.44140625","0.44140625","237","237","237","0.421875","0.421875","0.421875"
"4","266","266","266","0.30859375","0.30859375","0.30859375","266","266","266","0.27734375","0.27734375","0.27734375","266","266","266","0.30859375","0.30859375","0.30859375"
"5","295","295","295","0.5234375","0.5234375","0.5234375","295","295","295","0.56640625","0.56640625","0.56640625","295","295","295","0.5625","0.5625","0.5625"
"6","324","324","324","0.28515625","0.28515625","0.28515625","324","324","324","0.2734375","0.2734375","0.2734375","324","324","324","0.25","0.25","0.25"
"7","353","353","353","0.40234375","0.40234375","0.40234375","353","353","353","0.38671875","0.38671875","0.38671875","353","353","353","0.39453125","0.39453125","0.39453125"
"8","382","382","382","0.4375","0.4375","0.4375","382","382","382","0.41015625","0.41015625","0.41015625","382","382","382","0.40234375","0.40234375","0.40234375"
"9","411","411","411","0.484375","0.484375","0.484375","411","411","411","0.48046875","0.48046875","0.48046875","411","411","411","0.48828125","0.48828125","0.48828125"
"10","440","440","440","0.484375","0.484375","0.484375","440","440","440","0.46484375","0.46484375","0.46484375","440","440","440","0.46875","0.46875","0.46875"
"11","469","469","469","0.4140625","0.4140625","0.4140625","469","469","469","0.43359375","0.43359375","0.43359375","469","469","469","0.40625","0.40625","0.40625"
"12","498","498","498","0.46875","0.46875","0.46875","498","498","498","0.4375","0.4375","0.4375","498","498","498","0.4453125","0.4453125","0.4453125"
"13","527","527","527","0.171875","0.171875","0.171875","527","527","527","0.16796875","0.16796875","0.16796875","527","527","527","0.19140625","0.19140625","0.19140625"
"14","556","556","556","0.59375","0.59375","0.59375","556","556","556","0.60546875","0.60546875","0.60546875","556","556","556","0.58203125","0.58203125","0.58203125"
"15","585","585","585","0.34375","0.34375","0.34375","585","585","585","0.3359375","0.3359375","0.3359375","585","585","585","0.35546875","0.35546875","0.35546875"
"16","614","614","614","0.4765625","0.4765625","0.4765625","614","614","614","0.46875","0.46875","0.46875","614","614","614","0.484375","0.484375","0.484375"
"17","643","643","643","0.3671875","0.3671875","0.3671875","643","643","643","0.35546875","0.35546875","0.35546875","643","643","643","0.36328125","0.36328125","0.36328125"
"18","672","672","672","0.37109375","0.37109375","0.37109375","672","672","672","0.41015625","0.41015625","0.41015625","672","672","672","0.421875","0.421875","0.421875"
"19","701","701","701","0.3125","0.3125","0.3125","701","701","701","0.30078125","0.30078125","0.30078125","701","701","701","0.3046875","0.3046875","0.3046875"
"20","730","730","730","0.38671875","0.38671875","0.38671875","730","730","730","0.421875","0.421875","0.421875","730","730","730","0.4296875","0.4296875","0.4296875"
