"train/global_step","[benchmark_diff32]GSPO - _step","[benchmark_diff32]GSPO - _step__MIN","[benchmark_diff32]GSPO - _step__MAX","[benchmark_diff32]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GRPO - _step","[benchmark_diff32]GRPO - _step__MIN","[benchmark_diff32]GRPO - _step__MAX","[benchmark_diff32]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]dr_GRPO - _step","[benchmark_diff32]dr_GRPO - _step__MIN","[benchmark_diff32]dr_GRPO - _step__MAX","[benchmark_diff32]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark_diff32]GEPO - _step","[benchmark_diff32]GEPO - _step__MIN","[benchmark_diff32]GEPO - _step__MAX","[benchmark_diff32]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark_diff32]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark_diff32]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX"
"64","3760","3760","3760","0.6078869047619048","0.6078869047619048","0.6078869047619048","3760","3760","3760","0.5654761904761905","0.5654761904761905","0.5654761904761905","3760","3760","3760","0.5701884920634921","0.5701884920634921","0.5701884920634921","3760","3760","3760","0.5969742063492064","0.5969742063492064","0.5969742063492064"
"128","7521","7521","7521","0.6892361111111112","0.6892361111111112","0.6892361111111112","7521","7521","7521","0.5920138888888888","0.5920138888888888","0.5920138888888888","7521","7521","7521","0.5843253968253969","0.5843253968253969","0.5843253968253969","7521","7521","7521","0.6649305555555556","0.6649305555555556","0.6649305555555556"
"192","11282","11282","11282","0.748015873015873","0.748015873015873","0.748015873015873","11282","11282","11282","0.6034226190476191","0.6034226190476191","0.6034226190476191","11282","11282","11282","0.6106150793650794","0.6106150793650794","0.6106150793650794","11282","11282","11282","0.7135416666666666","0.7135416666666666","0.7135416666666666"
"256","15043","15043","15043","0.7462797619047619","0.7462797619047619","0.7462797619047619","15043","15043","15043","0.6197916666666666","0.6197916666666666","0.6197916666666666","15043","15043","15043","0.6180555555555556","0.6180555555555556","0.6180555555555556","15043","15043","15043","0.7470238095238095","0.7470238095238095","0.7470238095238095"
"320","18804","18804","18804","0.6937003968253969","0.6937003968253969","0.6937003968253969","18804","18804","18804","0.6346726190476191","0.6346726190476191","0.6346726190476191","18804","18804","18804","0.6309523809523809","0.6309523809523809","0.6309523809523809","18804","18804","18804","0.7604166666666666","0.7604166666666666","0.7604166666666666"
"384","22565","22565","22565","0.6617063492063492","0.6617063492063492","0.6617063492063492","22565","22565","22565","0.6396329365079365","0.6396329365079365","0.6396329365079365","22565","22565","22565","0.642609126984127","0.642609126984127","0.642609126984127","22565","22565","22565","0.7646329365079365","0.7646329365079365","0.7646329365079365"
"448","26326","26326","26326","0.6713789682539683","0.6713789682539683","0.6713789682539683","26326","26326","26326","0.6579861111111112","0.6579861111111112","0.6579861111111112","26326","26326","26326","0.6478174603174603","0.6478174603174603","0.6478174603174603","26326","26326","26326","0.7698412698412699","0.7698412698412699","0.7698412698412699"
"512","30087","30087","30087","0.6664186507936508","0.6664186507936508","0.6664186507936508","30087","30087","30087","0.6688988095238095","0.6688988095238095","0.6688988095238095","30087","30087","30087","0.6587301587301587","0.6587301587301587","0.6587301587301587","30087","30087","30087","0.7728174603174603","0.7728174603174603","0.7728174603174603"
"576","33848","33848","33848","0.7321428571428571","0.7321428571428571","0.7321428571428571","33848","33848","33848","0.6822916666666666","0.6822916666666666","0.6822916666666666","33848","33848","33848","0.6671626984126984","0.6671626984126984","0.6671626984126984","33848","33848","33848","0.7780257936507936","0.7780257936507936","0.7780257936507936"
"640","37609","37609","37609","0.46999007936507936","0.46999007936507936","0.46999007936507936","37609","37609","37609","0.6847718253968254","0.6847718253968254","0.6847718253968254","37609","37609","37609","0.6773313492063492","0.6773313492063492","0.6773313492063492","37609","37609","37609","0.7693452380952381","0.7693452380952381","0.7693452380952381"
