"train/global_step","[benchmark]BNPO - _step","[benchmark]BNPO - _step__MIN","[benchmark]BNPO - _step__MAX","[benchmark]BNPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark]BNPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]BNPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]dr_GRPO - _step","[benchmark]dr_GRPO - _step__MIN","[benchmark]dr_GRPO - _step__MAX","[benchmark]dr_GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark]dr_GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]dr_GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GSPO - _step","[benchmark]GSPO - _step__MIN","[benchmark]GSPO - _step__MAX","[benchmark]GSPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark]GSPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GSPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GEPO - _step","[benchmark]GEPO - _step__MIN","[benchmark]GEPO - _step__MAX","[benchmark]GEPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark]GEPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GEPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GRPO - _step","[benchmark]GRPO - _step__MIN","[benchmark]GRPO - _step__MAX","[benchmark]GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean","[benchmark]GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GRPO - eval/eval_amc23_rewards/accuracy_reward_lv35/mean__MAX"
"0","182","182","182","0.25625","0.25625","0.25625","182","182","182","0.25625","0.25625","0.25625","182","182","182","0.25625","0.25625","0.25625","182","182","182","0.25625","0.25625","0.25625","182","182","182","0.25625","0.25625","0.25625"
"64","2649","2649","2649","0.38125","0.38125","0.38125","2649","2649","2649","0.375","0.375","0.375","2649","2649","2649","0.365625","0.365625","0.365625","2649","2649","2649","0.3625","0.3625","0.3625","2649","2649","2649","0.39375","0.39375","0.39375"
"128","5116","5116","5116","0.478125","0.478125","0.478125","5116","5116","5116","0.471875","0.471875","0.471875","5116","5116","5116","0.46875","0.46875","0.46875","5116","5116","5116","0.5","0.5","0.5","5116","5116","5116","0.471875","0.471875","0.471875"
"192","7583","7583","7583","0.50625","0.50625","0.50625","7583","7583","7583","0.496875","0.496875","0.496875","7583","7583","7583","0.509375","0.509375","0.509375","7583","7583","7583","0.5125","0.5125","0.5125","7583","7583","7583","0.5","0.5","0.5"
"256","10050","10050","10050","0.54375","0.54375","0.54375","10050","10050","10050","0.509375","0.509375","0.509375","10050","10050","10050","0.540625","0.540625","0.540625","10050","10050","10050","0.546875","0.546875","0.546875","10050","10050","10050","0.496875","0.496875","0.496875"
"320","12517","12517","12517","0.509375","0.509375","0.509375","12517","12517","12517","0.534375","0.534375","0.534375","12517","12517","12517","0.4875","0.4875","0.4875","12517","12517","12517","0.50625","0.50625","0.50625","12517","12517","12517","0.496875","0.496875","0.496875"
"384","14984","14984","14984","0.484375","0.484375","0.484375","14984","14984","14984","0.515625","0.515625","0.515625","14984","14984","14984","0.5125","0.5125","0.5125","14984","14984","14984","0.49375","0.49375","0.49375","14984","14984","14984","0.515625","0.515625","0.515625"
"448","17451","17451","17451","0.496875","0.496875","0.496875","17451","17451","17451","0.525","0.525","0.525","17451","17451","17451","0.5375","0.5375","0.5375","17451","17451","17451","0.50625","0.50625","0.50625","17451","17451","17451","0.5125","0.5125","0.5125"
"512","19918","19918","19918","0.459375","0.459375","0.459375","19918","19918","19918","0.5125","0.5125","0.5125","19918","19918","19918","0.53125","0.53125","0.53125","19918","19918","19918","0.49375","0.49375","0.49375","19918","19918","19918","0.49375","0.49375","0.49375"
"576","22385","22385","22385","0","0","0","22385","22385","22385","0.490625","0.490625","0.490625","22385","22385","22385","0.5125","0.5125","0.5125","22385","22385","22385","0.5125","0.5125","0.5125","22385","22385","22385","0.525","0.525","0.525"
