"train/global_step","[benchmark]BNPO - _step","[benchmark]BNPO - _step__MIN","[benchmark]BNPO - _step__MAX","[benchmark]BNPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]BNPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]BNPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]dr_GRPO - _step","[benchmark]dr_GRPO - _step__MIN","[benchmark]dr_GRPO - _step__MAX","[benchmark]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]dr_GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GSPO - _step","[benchmark]GSPO - _step__MIN","[benchmark]GSPO - _step__MAX","[benchmark]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GSPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GEPO - _step","[benchmark]GEPO - _step__MIN","[benchmark]GEPO - _step__MAX","[benchmark]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GEPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX","[benchmark]GRPO - _step","[benchmark]GRPO - _step__MIN","[benchmark]GRPO - _step__MAX","[benchmark]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean","[benchmark]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MIN","[benchmark]GRPO - eval/eval_math_500_rewards/accuracy_reward_lv35/mean__MAX"
"0","611","611","611","0.5473710317460317","0.5473710317460317","0.5473710317460317","611","611","611","0.5473710317460317","0.5473710317460317","0.5473710317460317","611","611","611","0.5473710317460317","0.5473710317460317","0.5473710317460317","611","611","611","0.5473710317460317","0.5473710317460317","0.5473710317460317","611","611","611","0.5473710317460317","0.5473710317460317","0.5473710317460317"
"64","3078","3078","3078","0.6711309523809523","0.6711309523809523","0.6711309523809523","3078","3078","3078","0.6567460317460317","0.6567460317460317","0.6567460317460317","3078","3078","3078","0.6686507936507936","0.6686507936507936","0.6686507936507936","3078","3078","3078","0.6612103174603174","0.6612103174603174","0.6612103174603174","3078","3078","3078","0.6691468253968254","0.6691468253968254","0.6691468253968254"
"128","5545","5545","5545","0.7559523809523809","0.7559523809523809","0.7559523809523809","5545","5545","5545","0.7554563492063492","0.7554563492063492","0.7554563492063492","5545","5545","5545","0.7668650793650794","0.7668650793650794","0.7668650793650794","5545","5545","5545","0.7611607142857143","0.7611607142857143","0.7611607142857143","5545","5545","5545","0.7477678571428571","0.7477678571428571","0.7477678571428571"
"192","8012","8012","8012","0.7666170634920635","0.7666170634920635","0.7666170634920635","8012","8012","8012","0.7787698412698413","0.7787698412698413","0.7787698412698413","8012","8012","8012","0.7653769841269841","0.7653769841269841","0.7653769841269841","8012","8012","8012","0.7743055555555556","0.7743055555555556","0.7743055555555556","8012","8012","8012","0.7718253968253969","0.7718253968253969","0.7718253968253969"
"256","10479","10479","10479","0.7867063492063492","0.7867063492063492","0.7867063492063492","10479","10479","10479","0.7762896825396826","0.7762896825396826","0.7762896825396826","10479","10479","10479","0.7891865079365079","0.7891865079365079","0.7891865079365079","10479","10479","10479","0.7839781746031746","0.7839781746031746","0.7839781746031746","10479","10479","10479","0.7738095238095238","0.7738095238095238","0.7738095238095238"
"320","12946","12946","12946","0.7718253968253969","0.7718253968253969","0.7718253968253969","12946","12946","12946","0.7857142857142857","0.7857142857142857","0.7857142857142857","12946","12946","12946","0.7854662698412699","0.7854662698412699","0.7854662698412699","12946","12946","12946","0.7822420634920635","0.7822420634920635","0.7822420634920635","12946","12946","12946","0.7805059523809523","0.7805059523809523","0.7805059523809523"
"384","15413","15413","15413","0.7673611111111112","0.7673611111111112","0.7673611111111112","15413","15413","15413","0.7775297619047619","0.7775297619047619","0.7775297619047619","15413","15413","15413","0.7953869047619048","0.7953869047619048","0.7953869047619048","15413","15413","15413","0.7849702380952381","0.7849702380952381","0.7849702380952381","15413","15413","15413","0.7919146825396826","0.7919146825396826","0.7919146825396826"
"448","17880","17880","17880","0.763640873015873","0.763640873015873","0.763640873015873","17880","17880","17880","0.7777777777777778","0.7777777777777778","0.7777777777777778","17880","17880","17880","0.7986111111111112","0.7986111111111112","0.7986111111111112","17880","17880","17880","0.7951388888888888","0.7951388888888888","0.7951388888888888","17880","17880","17880","0.7857142857142857","0.7857142857142857","0.7857142857142857"
"512","20347","20347","20347","0.7361111111111112","0.7361111111111112","0.7361111111111112","20347","20347","20347","0.7631448412698413","0.7631448412698413","0.7631448412698413","20347","20347","20347","0.7946428571428571","0.7946428571428571","0.7946428571428571","20347","20347","20347","0.7869543650793651","0.7869543650793651","0.7869543650793651","20347","20347","20347","0.7899305555555556","0.7899305555555556","0.7899305555555556"
"576","22814","22814","22814","0.005704365079365079","0.005704365079365079","0.005704365079365079","22814","22814","22814","0.7385912698412699","0.7385912698412699","0.7385912698412699","22814","22814","22814","0.7879464285714286","0.7879464285714286","0.7879464285714286","22814","22814","22814","0.8010912698412699","0.8010912698412699","0.8010912698412699","22814","22814","22814","0.7894345238095238","0.7894345238095238","0.7894345238095238"
